I;II;III;IV;V;GS;suma;BP;z-s;Liczba;b³;as;eff%;liczba;b³1;poz%;perf%;liczba1;b³2;blok;Pkt;skut%;eff%1;pkt;wyblok;Nazwisko;Klub;Klucz;Data spotkania
4;3;4;3;;-;10;4;8;13;1;0;0%;0;0;-;-;10;0;1;5;50%;40%;5;4;1 Judyta Gawlak ;I£ Capital Legionovia Legionowo;25.11.2020I£ Capital Legionovia Legionowo-3:1-Grupa Azoty Chemik Police;25.11.2020, 17:30;2020/2021
;*;;;;-;0;0;0;0;0;0;-;0;0;-;-;2;0;0;0;0%;0%;0;0;2 Angelika Wystel ;I£ Capital Legionovia Legionowo;25.11.2020I£ Capital Legionovia Legionowo-3:1-Grupa Azoty Chemik Police;25.11.2020, 17:30;2020/2021
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;3 Julia Rajewska ;I£ Capital Legionovia Legionowo;25.11.2020I£ Capital Legionovia Legionowo-3:1-Grupa Azoty Chemik Police;25.11.2020, 17:30;2020/2021
2;1;2;1;;-;4;2;3;20;1;0;-5%;0;0;-;-;6;0;0;3;50%;50%;1;3;6 Maja Pelczarska ;I£ Capital Legionovia Legionowo;25.11.2020I£ Capital Legionovia Legionowo-3:1-Grupa Azoty Chemik Police;25.11.2020, 17:30;2020/2021
3;2;3;2;;-;12;7;4;15;1;0;0%;20;2;55%;20%;32;2;3;10;31%;16%;2;2;7 Natalia Skrzypkowska ;I£ Capital Legionovia Legionowo;25.11.2020I£ Capital Legionovia Legionowo-3:1-Grupa Azoty Chemik Police;25.11.2020, 17:30;2020/2021
*;;6;5;;-;2;1;-4;6;0;0;0%;13;0;54%;23%;16;1;5;2;13%;-25%;0;1;10 Patrycja G¹dek ;I£ Capital Legionovia Legionowo;25.11.2020I£ Capital Legionovia Legionowo-3:1-Grupa Azoty Chemik Police;25.11.2020, 17:30;2020/2021
;*;1;6;;-;8;2;7;6;1;0;-17%;0;0;-;-;13;0;0;8;62%;62%;0;3;11 Gabriela Ponikowska ;I£ Capital Legionovia Legionowo;25.11.2020I£ Capital Legionovia Legionowo-3:1-Grupa Azoty Chemik Police;25.11.2020, 17:30;2020/2021
6;5;;*;;-;8;3;-1;8;3;1;-25%;24;0;46%;17%;18;4;2;6;33%;0%;1;0;13 Marta Wellna ;I£ Capital Legionovia Legionowo;25.11.2020I£ Capital Legionovia Legionowo-3:1-Grupa Azoty Chemik Police;25.11.2020, 17:30;2020/2021
*;*;5;4;;-;8;3;0;7;3;0;-28%;0;0;-;-;21;3;2;8;38%;14%;0;2;16 Alina Bartkowska ;I£ Capital Legionovia Legionowo;25.11.2020I£ Capital Legionovia Legionowo-3:1-Grupa Azoty Chemik Police;25.11.2020, 17:30;2020/2021
*;*;*;*;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;17 Anna Bodasiñska (L);I£ Capital Legionovia Legionowo;25.11.2020I£ Capital Legionovia Legionowo-3:1-Grupa Azoty Chemik Police;25.11.2020, 17:30;2020/2021
*;*;*;*;;-;0;0;0;0;0;0;-;26;0;65%;50%;0;0;0;0;-;-;0;0;20 Anna Paw³owska (L);I£ Capital Legionovia Legionowo;25.11.2020I£ Capital Legionovia Legionowo-3:1-Grupa Azoty Chemik Police;25.11.2020, 17:30;2020/2021
1;6;;;;-;4;1;2;5;0;0;0%;1;0;0%;0%;9;0;2;3;33%;11%;1;4;21 Sonia Kubacka ;I£ Capital Legionovia Legionowo;25.11.2020I£ Capital Legionovia Legionowo-3:1-Grupa Azoty Chemik Police;25.11.2020, 17:30;2020/2021
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;22 Sylwia Kucharska ;I£ Capital Legionovia Legionowo;25.11.2020I£ Capital Legionovia Legionowo-3:1-Grupa Azoty Chemik Police;25.11.2020, 17:30;2020/2021
5;4;;;;-;5;1;1;3;0;0;0%;0;0;-;-;17;2;2;5;29%;6%;0;0;23 Koleta £yszkiewicz ;I£ Capital Legionovia Legionowo;25.11.2020I£ Capital Legionovia Legionowo-3:1-Grupa Azoty Chemik Police;25.11.2020, 17:30;2020/2021
*;*;*;*;*;-;0;0;0;0;0;0;-;24;0;83%;50%;0;0;0;0;-;-;0;0;1 Maria Stenzel (L);I£ Capital Legionovia Legionowo;05.11.2020I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;05.11.2020, 17:30;2020/2021
6;6;6;6;1;-;3;3;3;12;0;0;0%;0;0;-;-;5;0;0;2;40%;40%;1;1;2 Julia Nowicka ;I£ Capital Legionovia Legionowo;05.11.2020I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;05.11.2020, 17:30;2020/2021
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;4 Oliwia Michalak ;I£ Capital Legionovia Legionowo;05.11.2020I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;05.11.2020, 17:30;2020/2021
5;5;5;5;6;-;5;3;4;14;1;0;-7%;0;0;-;-;11;0;0;2;18%;18%;3;6;5 Ma³gorzata Lisiak ;I£ Capital Legionovia Legionowo;05.11.2020I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;05.11.2020, 17:30;2020/2021
;*;;;;-;0;0;-1;1;0;0;0%;0;0;-;-;2;0;1;0;0%;-50%;0;1;6 Anna Lewandowska ;I£ Capital Legionovia Legionowo;05.11.2020I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;05.11.2020, 17:30;2020/2021
4;4;4;4;5;-;18;10;11;26;2;1;-4%;40;0;58%;23%;43;4;1;12;28%;16%;5;0;8 Zuzanna Górecka ;I£ Capital Legionovia Legionowo;05.11.2020I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;05.11.2020, 17:30;2020/2021
3;3;3;3;4;-;25;8;14;23;1;0;-4%;0;0;-;-;59;4;6;25;42%;25%;0;2;12 Veronica Jones-Perry ;I£ Capital Legionovia Legionowo;05.11.2020I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;05.11.2020, 17:30;2020/2021
1;1;1;1;2;-;20;8;10;18;3;1;-11%;15;1;53%;33%;41;1;5;15;37%;22%;4;0;14 Monika Fedusio ;I£ Capital Legionovia Legionowo;05.11.2020I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;05.11.2020, 17:30;2020/2021
2;2;2;2;3;-;1;0;-3;13;1;0;-8%;2;0;100%;0%;8;2;1;1;13%;-25%;0;0;15 Kornelia Moskwa ;I£ Capital Legionovia Legionowo;05.11.2020I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;05.11.2020, 17:30;2020/2021
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;16 Ewelina Tobiasz ;I£ Capital Legionovia Legionowo;05.11.2020I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;05.11.2020, 17:30;2020/2021
;;;*;*;-;1;1;1;4;0;1;25%;0;0;-;-;0;0;0;0;-;-;0;0;20 Justyna Kêdziora ;I£ Capital Legionovia Legionowo;05.11.2020I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;05.11.2020, 17:30;2020/2021
;;;;*;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;24 Paulina Damaske ;I£ Capital Legionovia Legionowo;05.11.2020I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;05.11.2020, 17:30;2020/2021
3;3;2;3;3;-;26;7;17;20;2;0;-10%;0;0;-;-;56;3;4;24;43%;30%;2;1;3 Bruna Honorio Marques ;I£ Capital Legionovia Legionowo;05.11.2020I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;05.11.2020, 17:30;2020/2021
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;4 Klaudia Laskowska ;I£ Capital Legionovia Legionowo;05.11.2020I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;05.11.2020, 17:30;2020/2021
*;*;*;*;*;-;0;0;0;0;0;0;-;19;0;47%;32%;0;0;0;0;-;-;0;0;5 Agata Witkowska (L);I£ Capital Legionovia Legionowo;05.11.2020I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;05.11.2020, 17:30;2020/2021
*;*;;;;-;1;0;1;3;0;0;0%;4;0;0%;0%;1;0;0;1;100%;100%;0;0;7 Julita Molenda ;I£ Capital Legionovia Legionowo;05.11.2020I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;05.11.2020, 17:30;2020/2021
2;2;;;;-;2;1;1;4;1;0;-25%;1;0;0%;0%;0;0;0;0;-;-;2;0;8 Izabela Ba³ucka ;I£ Capital Legionovia Legionowo;05.11.2020I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;05.11.2020, 17:30;2020/2021
;*;1;2;2;-;8;4;5;12;1;1;0%;2;1;50%;0%;14;0;1;4;29%;21%;3;6;9 Andressa Picussa ;I£ Capital Legionovia Legionowo;05.11.2020I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;05.11.2020, 17:30;2020/2021
1;1;6;1;1;-;14;5;-3;16;5;0;-31%;26;1;38%;23%;44;8;3;14;32%;7%;0;1;10 Janisa Johnson ;I£ Capital Legionovia Legionowo;05.11.2020I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;05.11.2020, 17:30;2020/2021
5;5;4;5;5;-;10;3;0;14;4;0;-28%;1;0;100%;0%;23;3;3;8;35%;9%;2;7;11 Justyna £ukasik ;I£ Capital Legionovia Legionowo;05.11.2020I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;05.11.2020, 17:30;2020/2021
4;4;3;4;4;-;9;1;2;15;1;0;-7%;50;1;54%;22%;32;3;2;7;22%;6%;2;2;12 Julia K¹kol ;I£ Capital Legionovia Legionowo;05.11.2020I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;05.11.2020, 17:30;2020/2021
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;13 Renata Bia³a ;I£ Capital Legionovia Legionowo;05.11.2020I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;05.11.2020, 17:30;2020/2021
*;;*;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;14 Paulina Zaborowska ;I£ Capital Legionovia Legionowo;05.11.2020I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;05.11.2020, 17:30;2020/2021
*;;*;;;-;0;0;-1;1;1;0;-100%;0;0;-;-;1;0;0;0;0%;0%;0;0;16 Sandra Szczygio³ ;I£ Capital Legionovia Legionowo;05.11.2020I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;05.11.2020, 17:30;2020/2021
6;6;5;6;6;-;5;1;5;11;0;0;0%;0;0;-;-;4;0;0;2;50%;50%;3;3;18 Katarzyna Skorupa ;I£ Capital Legionovia Legionowo;05.11.2020I£ Capital Legionovia Legionowo-3:2-Grupa Azoty Chemik Police;05.11.2020, 17:30;2020/2021
1;6;1;;;-;5;3;3;3;1;0;-33%;0;0;-;-;8;0;1;3;38%;25%;2;0;2 Gabriela Polañska ;I£ Capital Legionovia Legionowo;09.10.2020I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;09.10.2020, 20:30;2020/2021
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;3 Kiera Van Ryk ;I£ Capital Legionovia Legionowo;09.10.2020I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;09.10.2020, 20:30;2020/2021
;;*;;;-;0;0;-1;2;0;0;0%;1;0;100%;0%;4;0;1;0;0%;-25%;0;0;4 Magdalena Grabka ;I£ Capital Legionovia Legionowo;09.10.2020I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;09.10.2020, 20:30;2020/2021
2;1;2;;;-;0;0;-1;12;1;0;0%;1;0;0%;0%;0;0;0;0;-;-;0;2;5 Marta £yczakowska ;I£ Capital Legionovia Legionowo;09.10.2020I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;09.10.2020, 20:30;2020/2021
5;4;5;;;-;17;6;8;9;3;0;-33%;0;0;-;-;36;3;3;14;39%;22%;3;1;6 Aleksandra Rasiñska ;I£ Capital Legionovia Legionowo;09.10.2020I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;09.10.2020, 20:30;2020/2021
6;5;6;;;-;13;4;11;11;0;0;9%;9;0;78%;44%;23;1;1;12;52%;43%;1;4;7 Jelena Blagojeviæ ;I£ Capital Legionovia Legionowo;09.10.2020I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;09.10.2020, 20:30;2020/2021
;;*;;;-;1;0;1;4;0;0;0%;0;0;-;-;1;0;0;1;100%;100%;0;0;8 Anna Obia³a ;I£ Capital Legionovia Legionowo;09.10.2020I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;09.10.2020, 20:30;2020/2021
;;*;;;-;0;0;0;1;0;0;0%;0;0;-;-;0;0;0;0;-;-;0;0;9 Anna Kaczmar ;I£ Capital Legionovia Legionowo;09.10.2020I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;09.10.2020, 20:30;2020/2021
4;3;4;;;-;6;4;5;13;0;0;0%;0;0;-;-;5;1;0;1;20%;0%;5;0;10 Zuzanna Efimienko-M³otkowska ;I£ Capital Legionovia Legionowo;09.10.2020I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;09.10.2020, 20:30;2020/2021
3;2;3;;;-;16;10;13;15;0;3;40%;15;1;47%;40%;17;1;1;10;59%;47%;3;2;12 Alexandra Laziæ ;I£ Capital Legionovia Legionowo;09.10.2020I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;09.10.2020, 20:30;2020/2021
;;*;;;-;1;1;0;3;0;1;67%;3;0;67%;33%;3;1;0;0;0%;-33%;0;0;16 Juliette Fidon-Lebleu ;I£ Capital Legionovia Legionowo;09.10.2020I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;09.10.2020, 20:30;2020/2021
*;*;*;;;-;0;0;-1;0;0;0;-;16;1;56%;38%;0;0;0;0;-;-;0;0;17 Aleksandra Krzos (L);I£ Capital Legionovia Legionowo;09.10.2020I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;09.10.2020, 20:30;2020/2021
*;*;*;;;-;0;0;-1;0;0;0;-;4;1;0%;0%;0;0;0;0;-;-;0;0;20 Daria Przyby³a (L);I£ Capital Legionovia Legionowo;09.10.2020I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;09.10.2020, 20:30;2020/2021
1;4;4;;;-;2;1;0;6;1;0;-17%;0;0;-;-;5;0;1;1;20%;0%;1;5;1 Maja Tokarska ;I£ Capital Legionovia Legionowo;09.10.2020I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;09.10.2020, 20:30;2020/2021
5;2;2;;;-;9;2;0;5;1;0;-20%;0;0;-;-;32;4;4;9;28%;3%;0;0;3 Julie Oliveira Souza ;I£ Capital Legionovia Legionowo;09.10.2020I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;09.10.2020, 20:30;2020/2021
3;6;6;;;-;12;4;3;6;1;1;0%;29;2;38%;10%;23;2;4;10;43%;17%;1;1;4 Jessica Rivero Marin ;I£ Capital Legionovia Legionowo;09.10.2020I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;09.10.2020, 20:30;2020/2021
*;;;;;-;0;0;0;0;0;0;-;0;0;-;-;4;0;0;0;0%;0%;0;0;6 Olivia Ró¿añski ;I£ Capital Legionovia Legionowo;09.10.2020I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;09.10.2020, 20:30;2020/2021
6;3;3;;;-;7;3;0;11;3;2;-9%;23;1;35%;26%;18;0;3;4;22%;6%;1;2;7 Daria Szczyrba ;I£ Capital Legionovia Legionowo;09.10.2020I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;09.10.2020, 20:30;2020/2021
;*;;;;-;0;0;-1;2;1;0;-50%;0;0;-;-;0;0;0;0;-;-;0;0;8 Zana Zdovc Sporer ;I£ Capital Legionovia Legionowo;09.10.2020I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;09.10.2020, 20:30;2020/2021
4;1;1;;;-;6;2;4;10;0;0;10%;0;0;-;-;15;1;1;5;33%;20%;1;1;10 Shelly Stafford ;I£ Capital Legionovia Legionowo;09.10.2020I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;09.10.2020, 20:30;2020/2021
*;*;*;;;-;0;0;-1;0;0;0;-;15;1;53%;13%;0;0;0;0;-;-;0;0;11 Izabela Lemañczyk (L);I£ Capital Legionovia Legionowo;09.10.2020I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;09.10.2020, 20:30;2020/2021
*;*;*;;;-;0;0;0;6;0;0;0%;0;0;-;-;0;0;0;0;-;-;0;0;12 Diana D¹browska ;I£ Capital Legionovia Legionowo;09.10.2020I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;09.10.2020, 20:30;2020/2021
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;14 Maja Szymañska ;I£ Capital Legionovia Legionowo;09.10.2020I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;09.10.2020, 20:30;2020/2021
;;*;;;-;0;0;0;0;0;0;-;1;0;0%;0%;0;0;0;0;-;-;0;0;16 Klaudia Kulig (L);I£ Capital Legionovia Legionowo;09.10.2020I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;09.10.2020, 20:30;2020/2021
;*;*;;;-;3;0;2;4;0;0;0%;0;0;-;-;2;1;0;1;50%;0%;2;0;17 Paulina Majkowska ;I£ Capital Legionovia Legionowo;09.10.2020I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;09.10.2020, 20:30;2020/2021
2;5;5;;;-;1;0;0;6;0;0;0%;0;0;-;-;2;0;1;0;0%;-50%;1;3;21 Alicja Grabka ;I£ Capital Legionovia Legionowo;09.10.2020I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;09.10.2020, 20:30;2020/2021
;*;*;;;-;0;0;0;0;0;0;-;0;0;-;-;1;0;0;0;0%;0%;0;0;62 Marta Matejko ;I£ Capital Legionovia Legionowo;09.10.2020I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;09.10.2020, 20:30;2020/2021
4;2;1;;;-;10;5;7;7;1;0;-14%;0;0;-;-;13;0;2;6;46%;31%;4;3;1 Maja Tokarska ;I£ Capital Legionovia Legionowo;17.10.2020I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;17.10.2020, 17:30;2020/2021
2;6;5;;;-;21;3;13;10;1;0;-10%;1;1;0%;0%;38;5;1;19;50%;34%;2;3;3 Julie Oliveira Souza ;I£ Capital Legionovia Legionowo;17.10.2020I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;17.10.2020, 17:30;2020/2021
6;4;3;;;-;6;3;-3;6;3;0;-50%;12;0;25%;17%;24;3;3;6;25%;0%;0;0;4 Jessica Rivero Marin ;I£ Capital Legionovia Legionowo;17.10.2020I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;17.10.2020, 17:30;2020/2021
3;1;6;;;-;9;5;6;8;1;0;-12%;10;0;60%;30%;27;1;1;7;26%;19%;2;2;7 Daria Szczyrba ;I£ Capital Legionovia Legionowo;17.10.2020I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;17.10.2020, 17:30;2020/2021
;;*;;;-;0;0;-1;1;0;0;0%;2;0;50%;0%;2;0;1;0;0%;-50%;0;1;8 Zana Zdovc Sporer ;I£ Capital Legionovia Legionowo;17.10.2020I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;17.10.2020, 17:30;2020/2021
;;*;;;-;0;0;0;0;0;0;-;0;0;-;-;1;0;0;0;0%;0%;0;1;10 Shelly Stafford ;I£ Capital Legionovia Legionowo;17.10.2020I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;17.10.2020, 17:30;2020/2021
*;*;*;;;-;0;0;0;0;0;0;-;45;0;47%;27%;0;0;0;0;-;-;0;0;11 Izabela Lemañczyk (L);I£ Capital Legionovia Legionowo;17.10.2020I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;17.10.2020, 17:30;2020/2021
5;3;2;;;-;1;0;1;9;0;0;11%;0;0;-;-;3;0;0;0;0%;0%;1;3;12 Diana D¹browska ;I£ Capital Legionovia Legionowo;17.10.2020I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;17.10.2020, 17:30;2020/2021
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;14 Maja Szymañska ;I£ Capital Legionovia Legionowo;17.10.2020I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;17.10.2020, 17:30;2020/2021
*;*;*;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;16 Klaudia Kulig (L);I£ Capital Legionovia Legionowo;17.10.2020I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;17.10.2020, 17:30;2020/2021
1;5;4;;;-;2;0;1;21;0;0;10%;0;0;-;-;6;0;1;1;17%;0%;1;1;17 Paulina Majkowska ;I£ Capital Legionovia Legionowo;17.10.2020I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;17.10.2020, 17:30;2020/2021
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;21 Alicja Grabka ;I£ Capital Legionovia Legionowo;17.10.2020I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;17.10.2020, 17:30;2020/2021
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;62 Marta Matejko ;I£ Capital Legionovia Legionowo;17.10.2020I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;17.10.2020, 17:30;2020/2021
*;*;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;1 Martyna Gorzkiewicz ;I£ Capital Legionovia Legionowo;17.10.2020I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;17.10.2020, 17:30;2020/2021
*;6;5;;;-;2;0;1;8;0;0;25%;4;0;75%;25%;7;1;0;2;29%;14%;0;3;2 Katarzyna Urbanowicz ;I£ Capital Legionovia Legionowo;17.10.2020I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;17.10.2020, 17:30;2020/2021
1;5;4;;;-;7;4;1;6;1;0;0%;19;0;68%;32%;20;2;3;5;25%;0%;2;2;3 Katarzyna Marcyniuk ;I£ Capital Legionovia Legionowo;17.10.2020I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;17.10.2020, 17:30;2020/2021
;;*;;;-;0;0;-1;0;0;0;-;1;0;0%;0%;3;0;1;0;0%;-33%;0;0;6 Adrianna Kukulska ;I£ Capital Legionovia Legionowo;17.10.2020I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;17.10.2020, 17:30;2020/2021
2;;*;;;-;1;1;0;3;0;0;0%;0;0;-;-;4;1;0;0;0%;-25%;1;1;7 Paulina Brzoska ;I£ Capital Legionovia Legionowo;17.10.2020I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;17.10.2020, 17:30;2020/2021
*;*;*;;;-;0;0;0;0;0;0;-;21;0;67%;29%;0;0;0;0;-;-;0;0;8 Agata Nowak (L);I£ Capital Legionovia Legionowo;17.10.2020I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;17.10.2020, 17:30;2020/2021
6;4;3;;;-;21;8;17;11;0;0;0%;0;0;-;-;49;0;4;21;43%;35%;0;1;9 Joanna Sikorska ;I£ Capital Legionovia Legionowo;17.10.2020I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;17.10.2020, 17:30;2020/2021
3;1;6;;;-;3;1;3;13;0;0;23%;0;0;-;-;3;0;0;3;100%;100%;0;2;10 Katarzyna Wenerska ;I£ Capital Legionovia Legionowo;17.10.2020I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;17.10.2020, 17:30;2020/2021
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;11 Aleksandra Muszyñska ;I£ Capital Legionovia Legionowo;17.10.2020I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;17.10.2020, 17:30;2020/2021
*;*;*;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;14 Pola Nowacka (L);I£ Capital Legionovia Legionowo;17.10.2020I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;17.10.2020, 17:30;2020/2021
*;*;;;;-;2;1;1;0;0;0;-;0;0;-;-;5;0;1;2;40%;20%;0;0;18 Wiktoria Kowalska ;I£ Capital Legionovia Legionowo;17.10.2020I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;17.10.2020, 17:30;2020/2021
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;19 Adrianna Muszyñska ;I£ Capital Legionovia Legionowo;17.10.2020I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;17.10.2020, 17:30;2020/2021
4;2;1;;;-;8;4;3;15;2;1;0%;10;0;50%;20%;19;2;1;6;32%;16%;1;1;21 Oliwia Urban ;I£ Capital Legionovia Legionowo;17.10.2020I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;17.10.2020, 17:30;2020/2021
5;3;2;;;-;13;6;13;17;0;0;0%;1;0;0%;0%;11;0;0;8;73%;73%;5;1;95 Magdalena Jurczyk ;I£ Capital Legionovia Legionowo;17.10.2020I£ Capital Legionovia Legionowo-0:3-Grupa Azoty Chemik Police;17.10.2020, 17:30;2020/2021
2;3;6;5;6;-;22;5;13;19;1;2;5%;0;0;-;-;50;7;1;18;36%;20%;2;0;3 Bruna Honorio Marques ;I£ Capital Legionovia Legionowo;18.11.2020I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;18.11.2020, 17:30;2020/2021
*;*;*;*;;-;0;0;0;0;0;0;-;19;0;63%;37%;0;0;0;0;-;-;0;0;5 Agata Witkowska (L);I£ Capital Legionovia Legionowo;18.11.2020I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;18.11.2020, 17:30;2020/2021
;*;;*;;-;0;0;-1;2;1;0;-50%;0;0;-;-;0;0;0;0;-;-;0;0;8 Izabela Ba³ucka ;I£ Capital Legionovia Legionowo;18.11.2020I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;18.11.2020, 17:30;2020/2021
1;2;5;4;5;-;9;4;4;9;3;0;-33%;5;0;40%;20%;14;2;0;6;43%;28%;3;0;9 Andressa Picussa ;I£ Capital Legionovia Legionowo;18.11.2020I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;18.11.2020, 17:30;2020/2021
6;1;4;3;4;-;28;8;12;18;3;2;0%;24;1;42%;25%;53;10;2;24;45%;23%;2;0;10 Janisa Johnson ;I£ Capital Legionovia Legionowo;18.11.2020I£ Capital Legionovia Legionowo-2:3-Grupa Azoty Chemik Police;18.11.2020, 17:30;2020/2021
