I;II;III;IV;V;Punkty;Liczba;as;b≥Ídy zagrywka;Asy na set;liczba;b≥Ídy przyjÍcie;Neg;Poz;poz%;Perf;perf%;liczba1;b≥Ídy atak;blok;Perf1;% perf;pkt;Pkt na set;Nazwisko;Klub;Klucz;Data spotkania;Sezon;Faza;Kolejka
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;9 Tereza Vanzurova ;Bank Pocztowy Pa≥ac Bydgoszcz;18.01.2020Bank Pocztowy Pa≥ac Bydgoszcz-2:3-Developres SkyRes RzeszÛw;18.01.2020, 14:45;2020/2021;zasadnicza;14
*;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;11 Marta Biedziak ;Bank Pocztowy Pa≥ac Bydgoszcz;18.01.2020Bank Pocztowy Pa≥ac Bydgoszcz-2:3-Developres SkyRes RzeszÛw;18.01.2020, 14:45;2020/2021;zasadnicza;14
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;13 Kinga RÛøyÒska ;Bank Pocztowy Pa≥ac Bydgoszcz;18.01.2020Bank Pocztowy Pa≥ac Bydgoszcz-2:3-Developres SkyRes RzeszÛw;18.01.2020, 14:45;2020/2021;zasadnicza;14
2;2;1;2;2;19;17;1;0;0,20;56;1;16;28;50%;13;23%;39;2;5;16;41%;2;0,40;14 Monika Fedusio ;Bank Pocztowy Pa≥ac Bydgoszcz;18.01.2020Bank Pocztowy Pa≥ac Bydgoszcz-2:3-Developres SkyRes RzeszÛw;18.01.2020, 14:45;2020/2021;zasadnicza;14
4;4;3;4;;11;8;0;1;0,00;0;0;0;0;-;0;-;31;3;5;8;26%;3;0,75;16 Izabella Rapacz ;Bank Pocztowy Pa≥ac Bydgoszcz;18.01.2020Bank Pocztowy Pa≥ac Bydgoszcz-2:3-Developres SkyRes RzeszÛw;18.01.2020, 14:45;2020/2021;zasadnicza;14
4;5;5;5;6;22;21;1;3;0,20;67;0;30;23;34%;8;12%;54;3;3;19;35%;2;0,40;1 Alexandra Frantti ;Developres SkyRes RzeszÛw;18.01.2020Bank Pocztowy Pa≥ac Bydgoszcz-2:3-Developres SkyRes RzeszÛw;18.01.2020, 14:45;2020/2021;zasadnicza;14
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;2 Gabriela PolaÒska ;Developres SkyRes RzeszÛw;18.01.2020Bank Pocztowy Pa≥ac Bydgoszcz-2:3-Developres SkyRes RzeszÛw;18.01.2020, 14:45;2020/2021;zasadnicza;14
6;6;6;6;1;6;9;0;1;0,00;0;0;0;0;-;0;-;7;1;0;4;57%;2;0,40;3 Kamila Witkowska ;Developres SkyRes RzeszÛw;18.01.2020Bank Pocztowy Pa≥ac Bydgoszcz-2:3-Developres SkyRes RzeszÛw;18.01.2020, 14:45;2020/2021;zasadnicza;14
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;4 Magdalena Grabka ;Developres SkyRes RzeszÛw;18.01.2020Bank Pocztowy Pa≥ac Bydgoszcz-2:3-Developres SkyRes RzeszÛw;18.01.2020, 14:45;2020/2021;zasadnicza;14
;*;;*;*;0;9;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;5 Magdalena Hawry≥a ;Developres SkyRes RzeszÛw;18.01.2020Bank Pocztowy Pa≥ac Bydgoszcz-2:3-Developres SkyRes RzeszÛw;18.01.2020, 14:45;2020/2021;zasadnicza;14
2;2;2;2;3;15;23;0;0;0,00;18;1;4;7;39%;2;11%;41;3;3;13;32%;2;0,40;7 Jelena BlagojeviÊ ;Developres SkyRes RzeszÛw;18.01.2020Bank Pocztowy Pa≥ac Bydgoszcz-2:3-Developres SkyRes RzeszÛw;18.01.2020, 14:45;2020/2021;zasadnicza;14
1;1;1;1;*;2;13;0;0;0,00;0;0;0;0;-;0;-;3;0;0;1;33%;1;0,20;9 Anna Kaczmar ;Developres SkyRes RzeszÛw;18.01.2020Bank Pocztowy Pa≥ac Bydgoszcz-2:3-Developres SkyRes RzeszÛw;18.01.2020, 14:45;2020/2021;zasadnicza;14
3;3;3;3;4;12;14;0;2;0,00;1;0;1;0;0%;0;0%;11;0;2;3;27%;9;1,80;10 Zuzanna Efimienko-M≥otkowska ;Developres SkyRes RzeszÛw;18.01.2020Bank Pocztowy Pa≥ac Bydgoszcz-2:3-Developres SkyRes RzeszÛw;18.01.2020, 14:45;2020/2021;zasadnicza;14
5;4;4;4;*;26;14;0;0;0,00;1;0;1;0;0%;0;0%;55;5;1;23;42%;3;0,60;12 Michaela Mlejnkova ;Developres SkyRes RzeszÛw;18.01.2020Bank Pocztowy Pa≥ac Bydgoszcz-2:3-Developres SkyRes RzeszÛw;18.01.2020, 14:45;2020/2021;zasadnicza;14
;;;*;2;1;7;1;1;0,50;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;14 Natalia Valentin-Anderson ;Developres SkyRes RzeszÛw;18.01.2020Bank Pocztowy Pa≥ac Bydgoszcz-2:3-Developres SkyRes RzeszÛw;18.01.2020, 14:45;2020/2021;zasadnicza;14
*;*;*;*;*;0;0;0;0;0,00;13;1;5;4;31%;2;15%;0;0;0;0;0%;0;0,00;17 Aleksandra Krzos (L);Developres SkyRes RzeszÛw;18.01.2020Bank Pocztowy Pa≥ac Bydgoszcz-2:3-Developres SkyRes RzeszÛw;18.01.2020, 14:45;2020/2021;zasadnicza;14
;;;*;5;4;1;0;0;0,00;0;0;0;0;-;0;-;9;1;1;3;33%;1;0,50;18 Katarzyna ZaroúliÒska-KrÛl ;Developres SkyRes RzeszÛw;18.01.2020Bank Pocztowy Pa≥ac Bydgoszcz-2:3-Developres SkyRes RzeszÛw;18.01.2020, 14:45;2020/2021;zasadnicza;14
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;20 Daria Przyby≥a (L);Developres SkyRes RzeszÛw;18.01.2020Bank Pocztowy Pa≥ac Bydgoszcz-2:3-Developres SkyRes RzeszÛw;18.01.2020, 14:45;2020/2021;zasadnicza;14
;*;4;;;0;3;0;0;0,00;14;1;6;4;29%;1;7%;6;0;1;0;0%;0;0,00;1 Roksana Wers ;#VolleyWroc≥aw;18.01.2020#VolleyWroc≥aw-0:3-Grupa Azoty Chemik Police;18.01.2020, 17:00;2020/2021;zasadnicza;14
;*;*;;;0;3;0;0;0,00;0;0;0;0;-;0;-;5;0;1;0;0%;0;0,00;3 Klaudia Felak ;#VolleyWroc≥aw;18.01.2020#VolleyWroc≥aw-0:3-Grupa Azoty Chemik Police;18.01.2020, 17:00;2020/2021;zasadnicza;14
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;4 £ucja Kuriata ;#VolleyWroc≥aw;18.01.2020#VolleyWroc≥aw-0:3-Grupa Azoty Chemik Police;18.01.2020, 17:00;2020/2021;zasadnicza;14
5;5;5;;;4;6;0;2;0,00;2;2;0;0;0%;0;0%;10;1;0;2;20%;2;0,67;5 Aleksandra Gancarz ;#VolleyWroc≥aw;18.01.2020#VolleyWroc≥aw-0:3-Grupa Azoty Chemik Police;18.01.2020, 17:00;2020/2021;zasadnicza;14
3;3;3;;;8;7;2;3;0,67;0;0;0;0;-;0;-;24;3;4;6;25%;0;0,00;6 Aleksandra RasiÒska ;#VolleyWroc≥aw;18.01.2020#VolleyWroc≥aw-0:3-Grupa Azoty Chemik Police;18.01.2020, 17:00;2020/2021;zasadnicza;14
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;7 Natalia Gajewska ;#VolleyWroc≥aw;18.01.2020#VolleyWroc≥aw-0:3-Grupa Azoty Chemik Police;18.01.2020, 17:00;2020/2021;zasadnicza;14
1;1;1;;;10;9;0;2;0,00;11;0;1;5;45%;3;27%;20;2;1;10;50%;0;0,00;9 Natalia Murek ;#VolleyWroc≥aw;18.01.2020#VolleyWroc≥aw-0:3-Grupa Azoty Chemik Police;18.01.2020, 17:00;2020/2021;zasadnicza;14
6;6;6;;;1;8;1;1;0,33;0;0;0;0;-;0;-;1;0;0;0;0%;0;0,00;11 Dominika Mras ;#VolleyWroc≥aw;18.01.2020#VolleyWroc≥aw-0:3-Grupa Azoty Chemik Police;18.01.2020, 17:00;2020/2021;zasadnicza;14
;*;*;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;12 Magdalena Dzikowicz (L);#VolleyWroc≥aw;18.01.2020#VolleyWroc≥aw-0:3-Grupa Azoty Chemik Police;18.01.2020, 17:00;2020/2021;zasadnicza;14
*;*;*;;;0;0;0;0;0,00;21;2;5;9;43%;2;10%;0;0;0;0;0%;0;0,00;15 Karolina Pancewicz (L);#VolleyWroc≥aw;18.01.2020#VolleyWroc≥aw-0:3-Grupa Azoty Chemik Police;18.01.2020, 17:00;2020/2021;zasadnicza;14
4;4;;;;3;5;0;0;0,00;18;2;7;7;39%;4;22%;8;3;0;3;38%;0;0,00;17 Kinga Kasprzak ;#VolleyWroc≥aw;18.01.2020#VolleyWroc≥aw-0:3-Grupa Azoty Chemik Police;18.01.2020, 17:00;2020/2021;zasadnicza;14
;;*;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;18 Roksana Irzemska ;#VolleyWroc≥aw;18.01.2020#VolleyWroc≥aw-0:3-Grupa Azoty Chemik Police;18.01.2020, 17:00;2020/2021;zasadnicza;14
2;2;2;;;8;14;1;2;0,33;0;0;0;0;-;0;-;10;1;0;5;50%;2;0,67;22 Karolina Fedorek ;#VolleyWroc≥aw;18.01.2020#VolleyWroc≥aw-0:3-Grupa Azoty Chemik Police;18.01.2020, 17:00;2020/2021;zasadnicza;14
*;*;*;;;0;2;0;1;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;1 Ewelina Polak ;Grupa Azoty Chemik Police;18.01.2020#VolleyWroc≥aw-0:3-Grupa Azoty Chemik Police;18.01.2020, 17:00;2020/2021;zasadnicza;14
5;5;5;;;12;11;1;1;0,33;10;1;3;3;30%;2;20%;20;4;0;11;55%;0;0,00;2 Martyna Grajber ;Grupa Azoty Chemik Police;18.01.2020#VolleyWroc≥aw-0:3-Grupa Azoty Chemik Police;18.01.2020, 17:00;2020/2021;zasadnicza;14
6;6;6;;;6;11;1;1;0,33;0;0;0;0;-;0;-;8;1;0;4;50%;1;0,33;3 Iryna Trushkina ;Grupa Azoty Chemik Police;18.01.2020#VolleyWroc≥aw-0:3-Grupa Azoty Chemik Police;18.01.2020, 17:00;2020/2021;zasadnicza;14
1;1;1;;;4;11;2;0;0,67;0;0;0;0;-;0;-;1;0;0;1;100%;1;0,33;4 Marlena Kowalewska ;Grupa Azoty Chemik Police;18.01.2020#VolleyWroc≥aw-0:3-Grupa Azoty Chemik Police;18.01.2020, 17:00;2020/2021;zasadnicza;14
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;6 Agnieszka Bednarek ;Grupa Azoty Chemik Police;18.01.2020#VolleyWroc≥aw-0:3-Grupa Azoty Chemik Police;18.01.2020, 17:00;2020/2021;zasadnicza;14
*;;*;;;0;0;0;0;0,00;3;0;1;2;67%;0;0%;0;0;0;0;0%;0;0,00;8 Pola Nowakowska (L);Grupa Azoty Chemik Police;18.01.2020#VolleyWroc≥aw-0:3-Grupa Azoty Chemik Police;18.01.2020, 17:00;2020/2021;zasadnicza;14
3;3;3;;;10;11;0;1;0,00;0;0;0;0;-;0;-;10;1;0;6;60%;4;1,33;9 Iga Wasilewska ;Grupa Azoty Chemik Police;18.01.2020#VolleyWroc≥aw-0:3-Grupa Azoty Chemik Police;18.01.2020, 17:00;2020/2021;zasadnicza;14
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;10 Wilma Salas Rosell ;Grupa Azoty Chemik Police;18.01.2020#VolleyWroc≥aw-0:3-Grupa Azoty Chemik Police;18.01.2020, 17:00;2020/2021;zasadnicza;14
2;2;2;;;9;22;3;2;1,00;22;3;5;8;36%;4;18%;24;2;2;6;25%;0;0,00;11 Martyna £ukasik ;Grupa Azoty Chemik Police;18.01.2020#VolleyWroc≥aw-0:3-Grupa Azoty Chemik Police;18.01.2020, 17:00;2020/2021;zasadnicza;14
*;*;*;;;0;0;0;0;0,00;10;0;2;8;80%;3;30%;0;0;0;0;0%;0;0,00;13 Paulina Maj-Erwardt (L);Grupa Azoty Chemik Police;18.01.2020#VolleyWroc≥aw-0:3-Grupa Azoty Chemik Police;18.01.2020, 17:00;2020/2021;zasadnicza;14
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;14 Natalia MÍdrzyk ;Grupa Azoty Chemik Police;18.01.2020#VolleyWroc≥aw-0:3-Grupa Azoty Chemik Police;18.01.2020, 17:00;2020/2021;zasadnicza;14
4;4;4;;;10;5;0;1;0,00;0;0;0;0;-;0;-;20;2;2;9;45%;1;0,33;17 Gyselle Silva Franco ;Grupa Azoty Chemik Police;18.01.2020#VolleyWroc≥aw-0:3-Grupa Azoty Chemik Police;18.01.2020, 17:00;2020/2021;zasadnicza;14
5;4;5;4;5;9;12;2;3;0,40;0;0;0;0;-;0;-;9;0;1;6;67%;1;0,20;1 Maja Tokarska ;DPD Legionovia Legionowo;19.01.2020DPD Legionovia Legionowo-3:2-BKS STAL Bielsko-Bia≥a;19.01.2020, 20:30;2020/2021;zasadnicza;14
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;2 Agata Plaga ;DPD Legionovia Legionowo;19.01.2020DPD Legionovia Legionowo-3:2-BKS STAL Bielsko-Bia≥a;19.01.2020, 20:30;2020/2021;zasadnicza;14
6;5;6;2;3;14;21;5;3;1,00;0;0;0;0;-;0;-;29;7;2;9;31%;0;0,00;3 Julie Oliveira Souza ;DPD Legionovia Legionowo;19.01.2020DPD Legionovia Legionowo-3:2-BKS STAL Bielsko-Bia≥a;19.01.2020, 20:30;2020/2021;zasadnicza;14
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;4 Magda KarpiÒska ;DPD Legionovia Legionowo;19.01.2020DPD Legionovia Legionowo-3:2-BKS STAL Bielsko-Bia≥a;19.01.2020, 20:30;2020/2021;zasadnicza;14
;*;4;;;4;2;0;2;0,00;5;1;1;0;0%;0;0%;8;0;1;4;50%;0;0,00;7 Magdalena Damaske-Dawid ;DPD Legionovia Legionowo;19.01.2020DPD Legionovia Legionowo-3:2-BKS STAL Bielsko-Bia≥a;19.01.2020, 20:30;2020/2021;zasadnicza;14
;*;;1;2;4;9;1;0;0,33;1;1;0;0;0%;0;0%;3;0;0;3;100%;0;0,00;9 Alicja WÛjcik ;DPD Legionovia Legionowo;19.01.2020DPD Legionovia Legionowo-3:2-BKS STAL Bielsko-Bia≥a;19.01.2020, 20:30;2020/2021;zasadnicza;14
;;*;;;0;0;0;0;0,00;1;0;1;0;0%;0;0%;0;0;0;0;0%;0;0,00;10 Agnieszka Adamek (L);DPD Legionovia Legionowo;19.01.2020DPD Legionovia Legionowo-3:2-BKS STAL Bielsko-Bia≥a;19.01.2020, 20:30;2020/2021;zasadnicza;14
*;*;*;*;*;0;0;0;0;0,00;18;1;3;6;33%;6;33%;0;0;0;0;0%;0;0,00;11 Izabela LemaÒczyk (L);DPD Legionovia Legionowo;19.01.2020DPD Legionovia Legionowo-3:2-BKS STAL Bielsko-Bia≥a;19.01.2020, 20:30;2020/2021;zasadnicza;14
1;6;1;3;4;19;15;3;3;0,60;52;3;19;17;33%;8;15%;40;0;5;15;38%;1;0,20;12 Olga Strantzali ;DPD Legionovia Legionowo;19.01.2020DPD Legionovia Legionowo-3:2-BKS STAL Bielsko-Bia≥a;19.01.2020, 20:30;2020/2021;zasadnicza;14
4;3;*;6;1;16;13;1;1;0,20;21;1;5;12;57%;8;38%;30;2;2;12;40%;3;0,60;16 Juliette Fidon-Lebleu ;DPD Legionovia Legionowo;19.01.2020DPD Legionovia Legionowo-3:2-BKS STAL Bielsko-Bia≥a;19.01.2020, 20:30;2020/2021;zasadnicza;14
2;1;2;;;5;9;0;2;0,00;0;0;0;0;-;0;-;10;1;2;3;30%;2;0,67;17 Justyna £ukasik ;DPD Legionovia Legionowo;19.01.2020DPD Legionovia Legionowo-3:2-BKS STAL Bielsko-Bia≥a;19.01.2020, 20:30;2020/2021;zasadnicza;14
3;2;3;5;6;4;17;1;1;0,20;0;0;0;0;-;0;-;6;0;0;2;33%;1;0,20;21 Alicja Grabka ;DPD Legionovia Legionowo;19.01.2020DPD Legionovia Legionowo-3:2-BKS STAL Bielsko-Bia≥a;19.01.2020, 20:30;2020/2021;zasadnicza;14
;;;;*;0;0;0;0;0,00;0;0;0;0;-;0;-;1;1;0;0;0%;0;0,00;62 Marta Matejko ;DPD Legionovia Legionowo;19.01.2020DPD Legionovia Legionowo-3:2-BKS STAL Bielsko-Bia≥a;19.01.2020, 20:30;2020/2021;zasadnicza;14
;;;*;;0;1;0;0;0,00;2;1;0;1;50%;1;50%;1;0;0;0;0%;0;0,00;1 Marta Wellna ;BKS STAL Bielsko-Bia≥a;19.01.2020DPD Legionovia Legionowo-3:2-BKS STAL Bielsko-Bia≥a;19.01.2020, 20:30;2020/2021;zasadnicza;14
6;6;6;6;6;1;11;0;2;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;1;0,20;2 Marta £yczakowska ;BKS STAL Bielsko-Bia≥a;19.01.2020DPD Legionovia Legionowo-3:2-BKS STAL Bielsko-Bia≥a;19.01.2020, 20:30;2020/2021;zasadnicza;14
4;4;4;4;4;22;19;3;2;0,60;20;1;3;7;35%;0;0%;42;4;2;15;36%;4;0,80;3 Olivia RÛøaÒski ;BKS STAL Bielsko-Bia≥a;19.01.2020DPD Legionovia Legionowo-3:2-BKS STAL Bielsko-Bia≥a;19.01.2020, 20:30;2020/2021;zasadnicza;14
2;2;2;2;2;10;12;0;0;0,00;1;0;0;1;100%;0;0%;12;0;1;6;50%;4;0,80;5 Alicia Ogoms ;BKS STAL Bielsko-Bia≥a;19.01.2020DPD Legionovia Legionowo-3:2-BKS STAL Bielsko-Bia≥a;19.01.2020, 20:30;2020/2021;zasadnicza;14
*;*;;*;*;1;1;0;0;0,00;0;0;0;0;-;0;-;7;3;1;1;14%;0;0,00;6 Magdalena Kowalczyk ;BKS STAL Bielsko-Bia≥a;19.01.2020DPD Legionovia Legionowo-3:2-BKS STAL Bielsko-Bia≥a;19.01.2020, 20:30;2020/2021;zasadnicza;14
*;*;;*;*;2;5;0;0;0,00;0;0;0;0;-;0;-;3;0;0;2;67%;0;0,00;7 Nicole Edelman ;BKS STAL Bielsko-Bia≥a;19.01.2020DPD Legionovia Legionowo-3:2-BKS STAL Bielsko-Bia≥a;19.01.2020, 20:30;2020/2021;zasadnicza;14
1;1;1;1;1;15;19;1;2;0,20;17;2;4;5;29%;1;6%;31;2;3;13;42%;1;0,20;10 Andrea Kossanyiova ;BKS STAL Bielsko-Bia≥a;19.01.2020DPD Legionovia Legionowo-3:2-BKS STAL Bielsko-Bia≥a;19.01.2020, 20:30;2020/2021;zasadnicza;14
;;*;;*;1;3;1;0;0,50;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;11 Dagmara Dπbrowska ;BKS STAL Bielsko-Bia≥a;19.01.2020DPD Legionovia Legionowo-3:2-BKS STAL Bielsko-Bia≥a;19.01.2020, 20:30;2020/2021;zasadnicza;14
3;3;3;3;3;12;16;0;3;0,00;0;0;0;0;-;0;-;19;0;1;12;63%;0;0,00;12 Carly DeHoog ;BKS STAL Bielsko-Bia≥a;19.01.2020DPD Legionovia Legionowo-3:2-BKS STAL Bielsko-Bia≥a;19.01.2020, 20:30;2020/2021;zasadnicza;14
5;5;5;5;5;11;20;2;0;0,40;0;0;0;0;-;0;-;9;1;0;6;67%;3;0,60;13 Martyna åwirad ;BKS STAL Bielsko-Bia≥a;19.01.2020DPD Legionovia Legionowo-3:2-BKS STAL Bielsko-Bia≥a;19.01.2020, 20:30;2020/2021;zasadnicza;14
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;15 Kornelia Moskwa ;BKS STAL Bielsko-Bia≥a;19.01.2020DPD Legionovia Legionowo-3:2-BKS STAL Bielsko-Bia≥a;19.01.2020, 20:30;2020/2021;zasadnicza;14
*;*;*;*;*;0;0;0;0;0,00;43;9;8;16;37%;9;21%;0;0;0;0;0%;0;0,00;16 Kinga Drabek (L);BKS STAL Bielsko-Bia≥a;19.01.2020DPD Legionovia Legionowo-3:2-BKS STAL Bielsko-Bia≥a;19.01.2020, 20:30;2020/2021;zasadnicza;14
3;3;3;3;;8;14;2;3;0,50;2;0;1;0;0%;0;0%;11;1;1;5;45%;1;0,25;1 Judyta Gawlak ;Enea PTPS Pi≥a;18.01.2020Enea PTPS Pi≥a-1:3-£KS Commercecon £Ûdü;18.01.2020, 18:00;2020/2021;zasadnicza;14
5;2;2;2;;15;18;2;2;0,50;17;0;7;5;29%;2;12%;39;4;2;12;31%;1;0,25;2 Paula CzerwiÒska ;Enea PTPS Pi≥a;18.01.2020Enea PTPS Pi≥a-1:3-£KS Commercecon £Ûdü;18.01.2020, 18:00;2020/2021;zasadnicza;14
6;6;6;6;;3;10;0;2;0,00;0;0;0;0;-;0;-;7;1;0;1;14%;2;0,50;4 Karolina Bednarek ;Enea PTPS Pi≥a;18.01.2020Enea PTPS Pi≥a-1:3-£KS Commercecon £Ûdü;18.01.2020, 18:00;2020/2021;zasadnicza;14
*;*;*;*;;0;0;0;0;0,00;24;1;2;16;67%;11;46%;0;0;0;0;0%;0;0,00;8 Magdalena Saad (L);Enea PTPS Pi≥a;18.01.2020Enea PTPS Pi≥a-1:3-£KS Commercecon £Ûdü;18.01.2020, 18:00;2020/2021;zasadnicza;14
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;11 Gabriela Ponikowska ;Enea PTPS Pi≥a;18.01.2020Enea PTPS Pi≥a-1:3-£KS Commercecon £Ûdü;18.01.2020, 18:00;2020/2021;zasadnicza;14
*;;;*;;0;6;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;14 Emilia Szubert ;Enea PTPS Pi≥a;18.01.2020Enea PTPS Pi≥a-1:3-£KS Commercecon £Ûdü;18.01.2020, 18:00;2020/2021;zasadnicza;14
4;4;4;4;;14;8;0;2;0,00;0;0;0;0;-;0;-;28;1;4;13;46%;1;0,25;17 Aleksandra Kaza≥a ;Enea PTPS Pi≥a;18.01.2020Enea PTPS Pi≥a-1:3-£KS Commercecon £Ûdü;18.01.2020, 18:00;2020/2021;zasadnicza;14
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;19 Marta Janiszewska ;Enea PTPS Pi≥a;18.01.2020Enea PTPS Pi≥a-1:3-£KS Commercecon £Ûdü;18.01.2020, 18:00;2020/2021;zasadnicza;14
;*;*;*;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;20 Anna Paw≥owska (L);Enea PTPS Pi≥a;18.01.2020Enea PTPS Pi≥a-1:3-£KS Commercecon £Ûdü;18.01.2020, 18:00;2020/2021;zasadnicza;14
2;5;5;5;;9;11;0;0;0,00;44;5;11;12;27%;6;14%;39;2;2;8;21%;1;0,25;21 Oliwia Urban ;Enea PTPS Pi≥a;18.01.2020Enea PTPS Pi≥a-1:3-£KS Commercecon £Ûdü;18.01.2020, 18:00;2020/2021;zasadnicza;14
1;1;1;1;;3;10;0;0;0,00;0;0;0;0;-;0;-;2;0;0;1;50%;2;0,50;22 Sylwia Kucharska ;Enea PTPS Pi≥a;18.01.2020Enea PTPS Pi≥a-1:3-£KS Commercecon £Ûdü;18.01.2020, 18:00;2020/2021;zasadnicza;14
*;;;*;;4;1;0;0;0,00;0;0;0;0;-;0;-;9;1;1;4;44%;0;0,00;23 Øaneta Baran ;Enea PTPS Pi≥a;18.01.2020Enea PTPS Pi≥a-1:3-£KS Commercecon £Ûdü;18.01.2020, 18:00;2020/2021;zasadnicza;14
1;2;1;2;;3;11;0;0;0,00;0;0;0;0;-;0;-;5;0;0;2;40%;1;0,25;1 Eva Mori ;£KS Commercecon £Ûdü;18.01.2020Enea PTPS Pi≥a-1:3-£KS Commercecon £Ûdü;18.01.2020, 18:00;2020/2021;zasadnicza;14
6;1;6;1;;11;11;0;1;0,00;0;0;0;0;-;0;-;15;2;0;9;60%;2;0,50;2 Ewa Kwiatkowska ;£KS Commercecon £Ûdü;18.01.2020Enea PTPS Pi≥a-1:3-£KS Commercecon £Ûdü;18.01.2020, 18:00;2020/2021;zasadnicza;14
;;*;4;;9;4;0;0;0,00;0;0;0;0;-;0;-;5;0;0;5;100%;4;2,00;4 Joanna Pacak ;£KS Commercecon £Ûdü;18.01.2020Enea PTPS Pi≥a-1:3-£KS Commercecon £Ûdü;18.01.2020, 18:00;2020/2021;zasadnicza;14
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;5 Natalia Skrzypkowska ;£KS Commercecon £Ûdü;18.01.2020Enea PTPS Pi≥a-1:3-£KS Commercecon £Ûdü;18.01.2020, 18:00;2020/2021;zasadnicza;14
5;6;5;6;;11;16;1;2;0,25;10;0;3;4;40%;1;10%;31;3;0;9;29%;1;0,25;6 Aleksandra WÛjcik ;£KS Commercecon £Ûdü;18.01.2020Enea PTPS Pi≥a-1:3-£KS Commercecon £Ûdü;18.01.2020, 18:00;2020/2021;zasadnicza;14
;;;*;;1;2;0;0;0,00;6;1;1;4;67%;0;0%;2;0;0;1;50%;0;0,00;7 Daria Szczyrba ;£KS Commercecon £Ûdü;18.01.2020Enea PTPS Pi≥a-1:3-£KS Commercecon £Ûdü;18.01.2020, 18:00;2020/2021;zasadnicza;14
2;3;2;3;;15;19;2;1;0,50;41;3;18;11;27%;5;12%;30;3;4;11;37%;2;0,50;8 Katarina LazoviÊ ;£KS Commercecon £Ûdü;18.01.2020Enea PTPS Pi≥a-1:3-£KS Commercecon £Ûdü;18.01.2020, 18:00;2020/2021;zasadnicza;14
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;10 Klaudia Gajewska ;£KS Commercecon £Ûdü;18.01.2020Enea PTPS Pi≥a-1:3-£KS Commercecon £Ûdü;18.01.2020, 18:00;2020/2021;zasadnicza;14
4;5;4;5;;19;17;3;3;0,75;0;0;0;0;-;0;-;31;2;4;15;48%;1;0,25;12 Monika Ga≥kowska ;£KS Commercecon £Ûdü;18.01.2020Enea PTPS Pi≥a-1:3-£KS Commercecon £Ûdü;18.01.2020, 18:00;2020/2021;zasadnicza;14
*;*;*;*;;0;0;0;0;0,00;12;0;3;7;58%;0;0%;0;0;0;0;0%;0;0,00;13 Krystyna Strasz (L);£KS Commercecon £Ûdü;18.01.2020Enea PTPS Pi≥a-1:3-£KS Commercecon £Ûdü;18.01.2020, 18:00;2020/2021;zasadnicza;14
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;14 Izabela KowaliÒska ;£KS Commercecon £Ûdü;18.01.2020Enea PTPS Pi≥a-1:3-£KS Commercecon £Ûdü;18.01.2020, 18:00;2020/2021;zasadnicza;14
